op,key,latency_ms,status,version,stale
write,key0021,10.710,201,0,false
write,key0009,10.619,201,0,false
write,key0018,12.831,201,0,false
read,key0048,59.897,200,2998,false
read,key0040,61.237,200,2996,false
read,key0040,61.331,200,2996,false
read,key0019,61.203,200,2958,false
read,key0001,61.109,200,2948,false
read,key0041,61.147,200,3020,false
read,key0032,61.271,200,3026,false
read,key0021,61.189,200,3027,true
read,key0022,61.445,200,2964,false
read,key0035,62.658,200,2859,false
read,key0026,62.528,200,2993,false
read,key0019,62.416,200,2958,false
read,key0003,54.634,200,3025,false
read,key0007,54.723,200,3028,false
write,key0006,4.406,201,0,false
read,key0047,67.221,200,3014,false
read,key0040,76.497,200,2996,false
read,key0020,76.679,200,3012,false
read,key0003,76.838,200,3025,false
read,key0038,63.611,200,2967,false
read,key0021,76.968,200,3027,true
read,key0043,54.685,200,2787,false
read,key0036,54.599,200,2955,false
read,key0040,54.683,200,2996,false
read,key0038,54.639,200,2967,false
read,key0007,55.271,200,3028,false
read,key0034,57.767,200,2975,false
read,key0040,56.981,200,2996,false
write,key0006,2.927,201,0,false
read,key0005,57.966,200,2992,false
write,key0045,1.487,201,0,false
read,key0023,61.356,200,2999,false
read,key0036,59.982,200,2955,false
read,key0030,52.017,200,2872,false
read,key0044,53.299,200,2895,false
read,key0030,53.310,200,2872,false
read,key0032,53.575,200,3026,false
read,key0019,63.238,200,2958,false
read,key0013,63.277,200,3023,false
read,key0013,65.936,200,3023,false
read,key0023,65.894,200,2999,false
read,key0003,69.910,200,3025,false
write,key0010,1.262,201,0,false
read,key0018,54.779,200,2997,true
write,key0012,5.331,201,0,false
read,key0032,52.968,200,3026,false
read,key0015,52.954,200,2987,false
read,key0031,51.843,200,3018,false
read,key0020,53.547,200,3012,false
read,key0031,52.635,200,3018,false
read,key0049,54.083,200,2803,false
read,key0021,53.313,200,3027,true
read,key0002,51.698,200,2910,false
read,key0044,52.324,200,2895,false
read,key0015,59.919,200,2987,false
read,key0024,52.009,200,2988,false
read,key0042,51.404,200,2994,false
read,key0043,51.744,200,2787,false
read,key0003,51.478,200,3025,false
read,key0024,51.785,200,2988,false
read,key0038,54.446,200,2967,false
read,key0027,57.786,200,2977,false
read,key0010,57.710,200,3015,true
read,key0001,57.989,200,2948,false
read,key0045,54.509,200,2990,true
read,key0034,51.288,200,2975,false
read,key0011,52.080,200,2968,false
write,key0048,1.088,201,0,false
read,key0035,53.535,200,2859,false
read,key0046,52.985,200,3017,false
read,key0045,52.674,200,2990,true
read,key0026,52.009,200,2993,false
read,key0007,54.153,200,3028,false
read,key0046,53.600,200,3017,false
write,key0035,1.679,201,0,false
read,key0013,59.962,200,3023,false
read,key0008,60.158,200,2989,false
read,key0049,51.694,200,2803,false
read,key0004,50.822,200,2871,false
read,key0040,51.262,200,2996,false
read,key0001,52.885,200,2948,false
read,key0020,54.748,200,3012,false
read,key0025,52.493,200,3004,false
read,key0027,55.971,200,2977,false
read,key0040,51.061,200,2996,false
read,key0006,53.123,200,2974,true
read,key0030,53.620,200,2872,false
read,key0006,51.730,200,2974,true
read,key0041,52.833,200,3020,false
read,key0025,52.961,200,3004,false
read,key0017,51.593,200,3019,false
read,key0010,52.082,200,3015,true
read,key0010,50.734,200,3015,true
read,key0012,52.251,200,3008,true
read,key0030,51.296,200,2872,false
read,key0032,50.682,200,3026,false
read,key0001,50.824,200,2948,false
read,key0000,50.826,200,3021,false
read,key0032,52.339,200,3026,false
read,key0048,52.390,200,2998,true
read,key0005,52.180,200,2992,false
read,key0045,52.841,200,2990,true
read,key0006,52.470,200,2974,true
read,key0008,54.450,200,2989,false
read,key0000,55.231,200,3021,false
read,key0012,54.662,200,3008,true
read,key0028,55.434,200,3016,false
write,key0023,4.658,201,0,false
write,key0014,2.931,201,0,false
write,key0021,1.306,201,0,false
read,key0016,52.080,200,3013,false
read,key0034,50.913,200,2975,false
read,key0007,52.936,200,3028,false
read,key0034,50.800,200,2975,false
read,key0038,51.976,200,2967,false
read,key0028,52.013,200,3016,false
read,key0002,51.208,200,2910,false
read,key0043,51.412,200,2787,false
read,key0002,51.976,200,2910,false
read,key0005,51.938,200,2992,false
read,key0011,54.151,200,2968,false
write,key0048,1.331,201,0,false
read,key0032,52.300,200,3026,false
read,key0024,53.051,200,2988,false
read,key0011,52.619,200,2968,false
read,key0032,54.086,200,3026,false
write,key0039,0.433,201,0,false
read,key0021,51.492,200,3027,true
read,key0041,51.520,200,3020,false
read,key0015,52.479,200,2987,false
read,key0040,55.652,200,2996,false
read,key0030,60.134,200,2872,false
read,key0022,52.518,200,2964,false
read,key0029,53.427,200,3022,false
read,key0019,53.673,200,2958,false
read,key0011,54.496,200,2968,false
read,key0003,51.938,200,3025,false
read,key0018,51.972,200,2997,true
read,key0030,51.849,200,2872,false
read,key0035,51.580,200,2859,true
read,key0048,52.535,200,2998,true
read,key0030,55.361,200,2872,false
read,key0009,50.959,200,2920,true
read,key0010,52.607,200,3015,true
read,key0005,52.100,200,2992,false
read,key0047,51.100,200,3014,false
write,key0012,0.417,201,0,false
read,key0017,51.835,200,3019,false
read,key0039,51.818,200,3002,true
read,key0035,53.492,200,2859,true
read,key0038,53.034,200,2967,false
read,key0026,50.969,200,2993,false
read,key0039,53.123,200,3002,true
read,key0002,50.773,200,2910,false
read,key0013,51.432,200,3023,false
read,key0034,50.860,200,2975,false
read,key0035,51.413,200,2859,true
read,key0041,52.081,200,3020,false
read,key0024,52.093,200,2988,false
read,key0014,51.373,200,2983,true
read,key0031,51.750,200,3018,false
read,key0005,52.468,200,2992,false
read,key0016,51.827,200,3013,false
read,key0010,52.099,200,3015,true
read,key0032,53.721,200,3026,false
read,key0008,52.173,200,2989,false
read,key0035,51.766,200,2859,true
read,key0035,52.918,200,2859,true
read,key0007,51.258,200,3028,false
read,key0045,51.547,200,2990,true
read,key0029,52.883,200,3022,false
read,key0026,56.628,200,2993,false
read,key0014,54.994,200,2983,true
read,key0031,52.983,200,3018,false
read,key0043,52.956,200,2787,false
read,key0007,53.639,200,3028,false
read,key0001,53.736,200,2948,false
read,key0014,51.891,200,2983,true
read,key0014,51.967,200,2983,true
read,key0035,53.993,200,2859,true
read,key0015,54.640,200,2987,false
read,key0002,55.626,200,2910,false
read,key0032,59.944,200,3026,false
read,key0000,54.270,200,3021,false
read,key0025,54.076,200,3004,false
write,key0030,4.850,201,0,false
read,key0040,54.106,200,2996,false
read,key0001,58.377,200,2948,false
read,key0008,52.121,200,2989,false
write,key0023,1.880,201,0,false
read,key0032,53.105,200,3026,false
read,key0010,56.113,200,3015,true
read,key0037,63.106,200,3001,false
read,key0006,55.362,200,2974,true
read,key0025,53.933,200,3004,false
read,key0027,51.239,200,2977,false
read,key0031,53.434,200,3018,false
read,key0048,52.734,200,2998,true
write,key0025,1.230,201,0,false
read,key0028,56.871,200,3016,false
read,key0007,58.624,200,3028,false
read,key0034,51.805,200,2975,false
read,key0012,55.477,200,3008,true
read,key0029,52.654,200,3022,false
read,key0030,52.869,200,2872,true
read,key0036,52.982,200,2955,false
read,key0013,50.776,200,3023,false
read,key0030,54.924,200,2872,true
read,key0045,55.280,200,2990,true
read,key0044,59.092,200,2895,false
read,key0004,57.054,200,2871,false
read,key0004,51.806,200,2871,false
read,key0018,61.177,200,2997,true
read,key0022,50.751,200,2964,false
write,key0042,1.102,201,0,false
read,key0002,53.077,200,2910,false
read,key0042,51.820,200,2994,true
read,key0030,54.146,200,2872,true
read,key0005,52.607,200,2992,false
read,key0022,51.504,200,2964,false
write,key0045,0.464,201,0,false
read,key0018,51.001,200,2997,true
read,key0028,51.554,200,3016,false
read,key0013,50.919,200,3023,false
read,key0005,51.979,200,2992,false
read,key0041,51.157,200,3020,false
read,key0034,51.791,200,2975,false
read,key0047,52.128,200,3014,false
read,key0002,52.324,200,2910,false
read,key0020,51.543,200,3012,false
read,key0003,52.451,200,3025,false
read,key0004,50.726,200,2871,false
read,key0025,50.754,200,3004,true
read,key0043,51.163,200,2787,false
read,key0025,52.545,200,3004,true
read,key0040,50.566,200,2996,false
write,key0001,0.432,201,0,false
read,key0031,52.863,200,3018,false
read,key0026,54.006,200,2993,false
read,key0041,51.814,200,3020,false
read,key0027,51.615,200,2977,false
write,key0024,0.876,201,0,false
read,key0029,52.824,200,3022,false
write,key0004,0.438,201,0,false
read,key0027,51.477,200,2977,false
read,key0007,52.855,200,3028,false
read,key0013,51.367,200,3023,false
read,key0020,52.696,200,3012,false
read,key0027,53.507,200,2977,false
read,key0041,52.547,200,3020,false
read,key0029,52.280,200,3022,false
read,key0039,52.162,200,3002,true
write,key0023,2.430,201,0,false
read,key0009,51.708,200,2920,true
read,key0025,53.268,200,3004,true
read,key0024,50.776,200,2988,true
read,key0043,50.824,200,2787,false
write,key0000,2.148,201,0,false
read,key0005,54.044,200,2992,false
read,key0018,50.983,200,2997,true
write,key0049,0.781,201,0,false
read,key0031,50.686,200,3018,false
read,key0043,52.008,200,2787,false
read,key0046,51.996,200,3017,false
read,key0000,50.780,200,3021,true
read,key0027,53.034,200,2977,false
read,key0036,51.711,200,2955,false
read,key0005,51.571,200,2992,false
read,key0023,51.845,200,2999,true
read,key0038,51.576,200,2967,false
read,key0048,51.587,200,2998,true
read,key0028,52.390,200,3016,false
read,key0005,51.515,200,2992,false
read,key0039,55.586,200,3002,true
write,key0015,3.186,201,0,false
read,key0045,53.044,200,2990,true
read,key0013,52.173,200,3023,false
read,key0033,51.327,200,3024,false
write,key0009,0.963,201,0,false
read,key0042,57.029,200,2994,true
read,key0015,51.835,200,2987,true
read,key0042,51.808,200,2994,true
read,key0049,50.980,200,2803,true
read,key0016,52.527,200,3013,false
read,key0034,50.995,200,2975,false
read,key0047,52.058,200,3014,false
read,key0012,51.454,200,3008,true
read,key0027,51.926,200,2977,false
read,key0038,51.918,200,2967,false
write,key0049,0.695,201,0,false
read,key0019,55.627,200,2958,false
write,key0002,0.380,201,0,false
read,key0027,51.810,200,2977,false
read,key0045,51.812,200,2990,true
read,key0043,56.538,200,2787,false
read,key0025,51.759,200,3004,true
read,key0044,50.982,200,2895,false
read,key0032,54.263,200,3026,false
read,key0004,51.001,200,2871,true
read,key0016,55.360,200,3013,false
write,key0027,0.910,201,0,false
read,key0028,52.670,200,3016,false
write,key0001,0.419,201,0,false
read,key0038,54.035,200,2967,false
read,key0016,56.540,200,3013,false
read,key0000,51.713,200,3021,true
read,key0030,52.089,200,2872,true
read,key0039,52.500,200,3002,true
read,key0005,54.496,200,2992,false
read,key0022,51.753,200,2964,false
read,key0017,51.327,200,3019,false
read,key0033,51.316,200,3024,false
read,key0047,52.902,200,3014,false
read,key0004,51.688,200,2871,true
read,key0015,51.654,200,2987,true
read,key0023,52.238,200,2999,true
read,key0032,52.580,200,3026,false
read,key0012,51.185,200,3008,true
read,key0015,51.585,200,2987,true
read,key0010,51.629,200,3015,true
read,key0013,51.155,200,3023,false
read,key0029,52.860,200,3022,false
write,key0020,2.699,201,0,false
read,key0049,51.869,200,2803,true
read,key0022,52.681,200,2964,false
read,key0015,51.514,200,2987,true
read,key0035,53.632,200,2859,true
read,key0047,51.002,200,3014,false
read,key0040,55.657,200,2996,false
read,key0000,54.394,200,3021,true
read,key0019,53.043,200,2958,false
read,key0029,54.710,200,3022,false
write,key0030,0.408,201,0,false
read,key0019,55.340,200,2958,false
read,key0049,53.121,200,2803,true
write,key0040,0.463,201,0,false
read,key0027,52.508,200,2977,true
read,key0033,52.757,200,3024,false
read,key0012,53.687,200,3008,true
read,key0048,51.362,200,2998,true
read,key0024,52.022,200,2988,true
write,key0027,0.379,201,0,false
read,key0017,55.034,200,3019,false
read,key0031,52.520,200,3018,false
write,key0043,0.622,201,0,false
write,key0027,0.390,201,0,false
read,key0021,52.034,200,3027,true
read,key0040,54.153,200,2996,true
read,key0040,52.269,200,2996,true
read,key0028,51.126,200,3016,false
read,key0008,51.549,200,2989,false
read,key0028,52.458,200,3016,false
read,key0034,54.235,200,2975,false
read,key0013,55.681,200,3023,false
read,key0003,50.935,200,3025,false
read,key0015,50.939,200,2987,true
read,key0013,50.810,200,3023,false
read,key0001,51.900,200,2948,true
read,key0019,52.213,200,2958,false
write,key0029,0.467,201,0,false
write,key0002,0.499,201,0,false
read,key0024,51.014,200,2988,true
read,key0026,51.316,200,2993,false
write,key0002,0.355,201,0,false
write,key0018,0.462,201,0,false
read,key0012,53.011,200,3008,true
read,key0011,51.852,200,2968,false
read,key0023,53.963,200,2999,true
read,key0030,54.639,200,2872,true
read,key0048,55.349,200,2998,true
read,key0016,52.168,200,3013,false
read,key0029,53.708,200,3022,true
write,key0016,1.589,201,0,false
write,key0044,3.425,201,0,false
read,key0044,52.759,200,2895,true
read,key0037,50.588,200,3001,false
read,key0026,51.975,200,2993,false
read,key0003,53.512,200,3025,false
read,key0017,52.149,200,3019,false
read,key0024,54.038,200,2988,true
read,key0038,52.086,200,2967,false
read,key0013,51.173,200,3023,false
read,key0042,51.470,200,2994,true
read,key0008,52.702,200,2989,false
read,key0011,51.477,200,2968,false
read,key0013,52.534,200,3023,false
write,key0031,1.865,201,0,false
read,key0026,53.179,200,2993,false
write,key0042,2.614,201,0,false
read,key0001,56.248,200,2948,true
read,key0044,51.836,200,2895,true
read,key0022,53.070,200,2964,false
read,key0025,57.013,200,3004,true
read,key0000,54.987,200,3021,true
read,key0040,52.816,200,2996,true
read,key0017,51.510,200,3019,false
read,key0017,58.833,200,3019,false
read,key0010,52.004,200,3015,true
read,key0023,53.122,200,2999,true
read,key0021,60.398,200,3027,true
read,key0047,51.437,200,3014,false
read,key0014,51.552,200,2983,true
read,key0044,52.798,200,2895,true
read,key0040,53.467,200,2996,true
read,key0039,52.815,200,3002,true
read,key0046,54.826,200,3017,false
read,key0025,54.855,200,3004,true
read,key0037,54.106,200,3001,false
write,key0013,12.357,201,0,false
write,key0009,10.991,201,0,false
read,key0012,52.625,200,3008,true
read,key0006,52.039,200,2974,true
read,key0009,58.085,200,2920,true
read,key0011,58.158,200,2968,false
read,key0007,58.098,200,3028,false
read,key0041,55.446,200,3020,false
write,key0036,2.382,201,0,false
read,key0002,61.067,200,2910,true
read,key0037,60.775,200,3001,false
read,key0021,57.720,200,3027,true
write,key0012,8.297,201,0,false
read,key0034,57.464,200,2975,false
read,key0007,54.829,200,3028,false
read,key0023,55.099,200,2999,true
read,key0011,56.950,200,2968,false
read,key0025,58.818,200,3004,true
read,key0021,57.335,200,3027,true
read,key0015,76.243,200,2987,true
read,key0007,53.699,200,3028,false
read,key0041,61.189,200,3020,false
read,key0013,51.737,200,3023,true
write,key0041,0.559,201,0,false
read,key0042,57.809,200,2994,true
read,key0001,53.629,200,2948,true
read,key0049,53.214,200,2803,true
read,key0047,53.358,200,3014,false
read,key0024,54.653,200,2988,true
read,key0047,61.620,200,3014,false
read,key0009,57.533,200,2920,true
write,key0001,0.821,201,0,false
read,key0020,53.212,200,3012,true
read,key0042,58.269,200,2994,true
read,key0037,54.322,200,3001,false
read,key0021,58.507,200,3027,true
read,key0029,57.050,200,3022,true
read,key0016,59.660,200,3013,true
read,key0006,58.649,200,2974,true
read,key0025,56.464,200,3004,true
write,key0041,1.541,201,0,false
read,key0045,53.603,200,2990,true
read,key0004,52.337,200,2871,true
read,key0049,53.930,200,2803,true
write,key0011,1.390,201,0,false
read,key0001,52.464,200,2948,true
read,key0045,51.265,200,2990,true
write,key0006,0.757,201,0,false
read,key0043,52.462,200,2787,true
write,key0030,0.507,201,0,false
read,key0043,51.094,200,2787,true
write,key0044,0.913,201,0,false
read,key0045,52.528,200,2990,true
read,key0042,52.926,200,2994,true
read,key0010,52.696,200,3015,true
read,key0021,52.983,200,3027,true
read,key0042,52.715,200,2994,true
read,key0041,52.952,200,3020,true
read,key0046,51.246,200,3017,false
read,key0042,57.406,200,2994,true
read,key0034,50.960,200,2975,false
read,key0000,51.737,200,3021,true
read,key0038,52.926,200,2967,false
read,key0044,51.228,200,2895,true
read,key0034,51.218,200,2975,false
write,key0046,1.287,201,0,false
read,key0048,53.617,200,2998,true
read,key0047,54.063,200,3014,false
read,key0010,52.832,200,3015,true
read,key0040,54.740,200,2996,true
read,key0014,51.482,200,2983,true
read,key0019,55.086,200,2958,false
read,key0010,52.210,200,3015,true
read,key0018,52.558,200,2997,true
read,key0048,52.265,200,2998,true
read,key0039,52.510,200,3002,true
read,key0002,52.668,200,2910,true
read,key0048,51.865,200,2998,true
read,key0011,53.821,200,2968,true
read,key0042,53.416,200,2994,true
read,key0011,54.609,200,2968,true
read,key0001,52.941,200,2948,true
read,key0032,53.750,200,3026,false
write,key0044,3.234,201,0,false
read,key0009,53.639,200,2920,true
read,key0038,55.435,200,2967,false
read,key0000,59.401,200,3021,true
read,key0027,59.704,200,2977,true
read,key0038,52.258,200,2967,false
read,key0020,51.924,200,3012,true
read,key0021,51.474,200,3027,true
write,key0038,2.959,201,0,false
write,key0036,6.839,201,0,false
read,key0041,52.924,200,3020,true
read,key0000,53.500,200,3021,true
read,key0015,53.263,200,2987,true
read,key0012,52.884,200,3008,true
read,key0004,54.946,200,2871,true
read,key0019,54.436,200,2958,false
read,key0017,52.998,200,3019,false
read,key0045,61.143,200,2990,true
read,key0001,53.312,200,2948,true
read,key0049,53.691,200,2803,true
read,key0010,58.610,200,3015,true
read,key0033,52.653,200,3024,false
read,key0034,51.403,200,2975,false
read,key0029,53.411,200,3022,true
read,key0009,53.512,200,2920,true
read,key0020,55.654,200,3012,true
read,key0013,62.940,200,3023,true
read,key0003,63.048,200,3025,false
read,key0047,53.631,200,3014,false
read,key0009,52.235,200,2920,true
read,key0023,52.293,200,2999,true
read,key0036,53.538,200,2955,true
read,key0007,53.830,200,3028,false
read,key0022,66.878,200,2964,false
read,key0004,54.007,200,2871,true
read,key0021,56.027,200,3027,true
write,key0026,2.625,201,0,false
read,key0030,53.427,200,2872,true
read,key0005,55.900,200,2992,false
read,key0014,52.227,200,2983,true
write,key0020,3.255,201,0,false
read,key0030,51.447,200,2872,true
read,key0007,51.689,200,3028,false
read,key0005,53.203,200,2992,false
read,key0006,54.772,200,2974,true
read,key0015,53.791,200,2987,true
read,key0014,57.196,200,2983,true
read,key0045,57.705,200,2990,true
read,key0033,55.487,200,3024,false
write,key0036,1.300,201,0,false
read,key0044,53.911,200,2895,true
read,key0010,53.030,200,3015,true
read,key0018,53.031,200,2997,true
read,key0028,54.235,200,3016,false
write,key0022,1.358,201,0,false
read,key0029,52.348,200,3022,true
read,key0013,55.930,200,3023,true
read,key0039,55.531,200,3002,true
read,key0016,52.361,200,3013,true
read,key0007,55.589,200,3028,false
read,key0033,56.753,200,3024,false
read,key0036,52.487,200,2955,true
read,key0026,52.341,200,2993,true
read,key0034,53.542,200,2975,false
read,key0023,52.662,200,2999,true
read,key0029,65.076,200,3022,true
read,key0007,68.318,200,3028,false
read,key0029,52.928,200,3022,true
read,key0035,51.481,200,2859,true
read,key0036,51.861,200,2955,true
read,key0047,55.302,200,3014,false
read,key0030,51.889,200,2872,true
read,key0028,54.218,200,3016,false
read,key0035,53.032,200,2859,true
read,key0015,55.404,200,2987,true
read,key0003,54.278,200,3025,false
read,key0042,54.302,200,2994,true
read,key0023,55.621,200,2999,true
read,key0006,60.478,200,2974,true
read,key0019,53.239,200,2958,false
write,key0027,9.137,201,0,false
read,key0025,51.914,200,3004,true
read,key0026,52.971,200,2993,true
read,key0029,62.335,200,3022,true
read,key0027,60.342,200,2977,true
read,key0006,51.480,200,2974,true
read,key0032,52.439,200,3026,false
read,key0001,53.158,200,2948,true
write,key0038,1.965,201,0,false
read,key0020,50.655,200,3012,true
read,key0005,51.185,200,2992,false
write,key0020,0.577,201,0,false
read,key0004,51.920,200,2871,true
read,key0045,53.262,200,2990,true
read,key0012,51.738,200,3008,true
read,key0029,54.125,200,3022,true
read,key0024,59.538,200,2988,true
read,key0049,54.067,200,2803,true
read,key0043,52.796,200,2787,true
read,key0037,52.798,200,3001,false
read,key0032,52.494,200,3026,false
read,key0008,51.893,200,2989,false
read,key0040,56.399,200,2996,true
read,key0013,53.649,200,3023,true
read,key0037,57.389,200,3001,false
read,key0018,52.458,200,2997,true
read,key0044,64.885,200,2895,true
read,key0014,58.714,200,2983,true
read,key0030,66.925,200,2872,true
read,key0037,53.633,200,3001,false
read,key0019,50.927,200,2958,false
read,key0040,50.755,200,2996,true
read,key0047,50.911,200,3014,false
read,key0040,51.781,200,2996,true
read,key0018,52.833,200,2997,true
read,key0021,51.933,200,3027,true
read,key0005,51.933,200,2992,false
read,key0038,52.042,200,2967,true
read,key0009,54.368,200,2920,true
read,key0048,53.237,200,2998,true
write,key0046,0.470,201,0,false
read,key0035,52.627,200,2859,true
read,key0025,56.988,200,3004,true
read,key0032,52.049,200,3026,false
read,key0003,52.825,200,3025,false
read,key0044,51.453,200,2895,true
read,key0040,50.906,200,2996,true
read,key0014,58.426,200,2983,true
read,key0010,55.641,200,3015,true
read,key0018,55.824,200,2997,true
read,key0011,52.251,200,2968,true
read,key0011,52.244,200,2968,true
read,key0034,51.889,200,2975,false
read,key0011,52.229,200,2968,true
read,key0017,51.372,200,3019,false
read,key0043,57.169,200,2787,true
read,key0008,50.831,200,2989,false
read,key0031,50.764,200,3018,true
read,key0049,52.630,200,2803,true
read,key0031,55.056,200,3018,true
read,key0048,51.696,200,2998,true
read,key0029,51.149,200,3022,true
read,key0002,53.855,200,2910,true
read,key0016,50.764,200,3013,true
write,key0034,0.447,201,0,false
read,key0037,52.881,200,3001,false
read,key0022,52.183,200,2964,true
read,key0001,53.087,200,2948,true
read,key0002,52.386,200,2910,true
read,key0013,52.412,200,3023,true
read,key0015,54.305,200,2987,true
read,key0041,54.700,200,3020,true
read,key0010,52.814,200,3015,true
read,key0010,51.642,200,3015,true
read,key0025,51.930,200,3004,true
read,key0006,53.551,200,2974,true
read,key0045,51.222,200,2990,true
read,key0042,51.730,200,2994,true
read,key0035,51.000,200,2859,true
read,key0046,50.624,200,3017,true
read,key0008,53.421,200,2989,false
write,key0001,0.731,201,0,false
read,key0001,52.400,200,2948,true
read,key0007,53.010,200,3028,false
read,key0031,52.301,200,3018,true
read,key0017,54.915,200,3019,false
read,key0031,51.753,200,3018,true
